RNG Hexa,RNG Index,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10,Extra Frame 1
00000001,000,M2 (Snake3) C6 (Q5) F9 (Elastoid4) T1 (Jelleye8) G7,(Malboro7) F6 (Q5) M9 (Snake4) T8 (Mask3) G2 (Mantis1),(Biggs7) F3 (Q6) T5 (Elnoyle8) M9 (Jelleye2) C4 (Snake1),C3 (King2) F6 (Q5) M9 (Elastoid4) T1 (Grendel8) G7,XX,XX,(Q7) M4 (Robot1) G5 (Mantis8) C9 (Glacial6) T2 (Grat3),XX,(Q4) F5 (Biggs6) M8 (Jelleye9) T7 (Grendel1) G2 (Buel3),F8 (Beast9) M6 (Q5) C3 (Chimera2) G4 (Glacial1) T7,
00010dce,001,,,,,,,,,,,
1c5983f7,002,,,,,,,,,,,
c35937cc,003,,,,,,,,,,,
2e130a5d,004,,,,,,,,,,,
e723057a,005,,,,,,,,,,,
e3cc94b3,006,,,,,,,,,,,
63132a58,007,,,,,,,,,,,
79d76079,008,,,,,,,,,,,
e1d765e6,009,,,,,,,,,,,
2f8f472f,010,,,,,,,,,,,
a38863a4,011,,,,,,,,,,,
44eb1e55,012,,,,,,,,,,,
3f269b12,013,,,,,,,,,,,
22dc176b,014,,,,,,,,,,,
2eda2fb0,015,,,,,,,,,,,
c8d41ff1,016,,,,,,,,,,,
b76dd0fe,017,,,,,,,,,,,
478b4167,018,,,,,,,,,,,
9e3c9a7c,019,,,,,,,,,,,
64dc014d,020,,,,,,,,,,,
f18af3aa,021,,,,,,,,,,,
6e4ec123,022,,,,,,,,,,,
16027008,023,,,,,,,,,,,
2fac1e69,024,,,,,,,,,,,
08c8af16,025,,,,,,,,,,,
e8ae529f,026,,,,,,,,,,,
80693c54,027,,,,,,,,,,,
68a99345,028,,,,,,,,,,,
ff8a6f42,029,,,,,,,,,,,
18c371db,030,,,,,,,,,,,
33254b60,031,,,,,,,,,,,
25113be1,032,,,,,,,,,,,
cab8602e,033,,,,,,,,,,,
12b55ad7,034,,,,,,,,,,,
8bada92c,035,,,,,,,,,,,
54d3b43d,036,,,,,,,,,,,
61eb6dda,037,,,,,,,,,,,
cbf50993,038,,,,,,,,,,,
ce4821b8,039,,,,,,,,,,,
fb315859,040,,,,,,,,,,,
00594446,041,,,,,,,,,,,
14393a0f,042,,,,,,,,,,,
53d54104,043,,,,,,,,,,,
37164435,044,,,,,,,,,,,
82804f72,045,,,,,,,,,,,
543a684b,046,,,,,,,,,,,
d25c5310,047,,,,,,,,,,,
773653d1,048,,,,,,,,,,,
8c93bb5e,049,,,,,,,,,,,
ce2ed047,050,,,,,,,,,,,
4c5763dc,051,,,,,,,,,,,
f5e9232d,052,,,,,,,,,,,
e5a7740a,053,,,,,,,,,,,
dc066e03,054,,,,,,,,,,,
f2bf3f68,055,,,,,,,,,,,
58c60e49,056,,,,,,,,,,,
339c2576,057,,,,,,,,,,,
6766fd7f,058,,,,,,,,,,,
05d771b4,059,,,,,,,,,,,
10003125,060,,,,,,,,,,,
03cb3ba2,061,,,,,,,,,,,
9767fabb,062,,,,,,,,,,,
80ba46c0,063,,,,,,,,,,,
d18267c1,064,,,,,,,,,,,
cc72e28e,065,,,,,,,,,,,
700ea1b7,066,,,,,,,,,,,
1ba4ca8c,067,,,,,,,,,,,
4bcb4e1d,068,,,,,,,,,,,
52e2063a,069,,,,,,,,,,,
df89ee73,070,,,,,,,,,,,
f102c918,071,,,,,,,,,,,
ec894039,072,,,,,,,,,,,
a26452a6,073,,,,,,,,,,,
752e9cef,074,,,,,,,,,,,
d13ace64,075,,,,,,,,,,,
56f65a15,076,,,,,,,,,,,
7fee33d2,077,,,,,,,,,,,
be33292b,078,,,,,,,,,,,
113a2670,079,,,,,,,,,,,
e5f477b1,080,,,,,,,,,,,
0688d5be,081,,,,,,,,,,,
042bcf27,082,,,,,,,,,,,
5fc0dd3c,083,,,,,,,,,,,
55e9350d,084,,,,,,,,,,,
d87e246a,085,,,,,,,,,,,
e9468ae3,086,,,,,,,,,,,
ed6dbec8,087,,,,,,,,,,,
7259ee29,088,,,,,,,,,,,
1144cbd6,089,,,,,,,,,,,
1e47185f,090,,,,,,,,,,,
f38a5714,091,,,,,,,,,,,
6347bf05,092,,,,,,,,,,,
e42c3802,093,,,,,,,,,,,
2e42f39b,094,,,,,,,,,,,
6596f220,095,,,,,,,,,,,
f64b83a1,096,,,,,,,,,,,
93c894ee,097,,,,,,,,,,,
1c1d5897,098,,,,,,,,,,,
59969bec,099,,,,,,,,,,,
ff71d7fd,100,,,,,,,,,,,
2e1ece9a,101,,,,,,,,,,,
4dc34353,102,,,,,,,,,,,
731b2078,103,,,,,,,,,,,
add71819,104,,,,,,,,,,,
39909106,105,,,,,,,,,,,
01276fcf,106,,,,,,,,,,,
5d110bc4,107,,,,,,,,,,,
70035ff5,108,,,,,,,,,,,
3e884832,109,,,,,,,,,,,
46fe5a0b,110,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
1e4ba9d0,111,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
c4068b91,112,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
