RNG Hexa,RNG Index,Instant mash ?,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10,Extra Frame 1,,,
00000001,000,YES = 0,Elastoid / Jelleye / Anacondaur / Buel,Malboro / Anacondaur / Belhelmel / GrandMantis,Wedge+Biggs / Jelleye / Elnoyle / Anacondaur,Elastoid / Grendel / TonberryKing / Grat,Malboro / GrandMantis / TonberryKing / IronGiant,GrandMantis / Elastoid / TonberryKing / Chimera,GlacialEye / GrandMantis / Grat / GIM47N,Anacondaur / GIM47N / IronGiant / RubyDragon,Jelleye / Wedge+Biggs / Buel / Grendel,Chimera / Thrustaevis / Behemoth / GlacialEye,,,,
00010dce,001,,,,,,,,,,,,,,Cycle = Here/Not,% to get randomly
1c5983f7,002,,,,,,,,,,,,,,Q cycle = 57/133,30
c35937cc,003,,,,,,,,,,,,,,Z Cycle = 19/171,10
2e130a5d,004,,,,,,,,,,,,,,MiniMog Cycle = 38/152,20
e723057a,005,,,,,,,,,,,,,,,
e3cc94b3,006,,,,,,,,,,,,,,,
63132a58,007,,,,,,,,,,,,,,,
79d76079,008,,,,,,,,,,,,,,,
e1d765e6,009,,,,,,,,,,,,,,,
2f8f472f,010,,,,,,,,,,,,,,,
a38863a4,011,,,,,,,,,,,,,,,
44eb1e55,012,,,,,,,,,,,,,,,
3f269b12,013,,,,,,,,,,,,,,,
22dc176b,014,,,,,,,,,,,,,,,
2eda2fb0,015,,,,,,,,,,,,,,,
c8d41ff1,016,,,,,,,,,,,,,,,
b76dd0fe,017,,,,,,,,,,,,,,,
478b4167,018,,,,,,,,,,,,,,,
9e3c9a7c,019,,,,,,,,,,,,,,,
64dc014d,020,,,,,,,,,,,,,,,
f18af3aa,021,,,,,,,,,,,,,,,
6e4ec123,022,,,,,,,,,,,,,,,
16027008,023,,,,,,,,,,,,,,,
2fac1e69,024,,,,,,,,,,,,,,,
08c8af16,025,,,,,,,,,,,,,,,
e8ae529f,026,,,,,,,,,,,,,,,
80693c54,027,,,,,,,,,,,,,,,
68a99345,028,,,,,,,,,,,,,,,
ff8a6f42,029,,,,,,,,,,,,,,,
18c371db,030,,,,,,,,,,,,,,,
33254b60,031,,,,,,,,,,,,,,,
25113be1,032,,,,,,,,,,,,,,,
cab8602e,033,,,,,,,,,,,,,,,
12b55ad7,034,,,,,,,,,,,,,,,
8bada92c,035,,,,,,,,,,,,,,,
54d3b43d,036,,,,,,,,,,,,,,,
61eb6dda,037,,,,,,,,,,,,,,,
cbf50993,038,,,,,,,,,,,,,,,
ce4821b8,039,,,,,,,,,,,,,,,
fb315859,040,,,,,,,,,,,,,,,
00594446,041,,,,,,,,,,,,,,,
14393a0f,042,,,,,,,,,,,,,,,
53d54104,043,,,,,,,,,,,,,,,
37164435,044,,,,,,,,,,,,,,,
82804f72,045,,,,,,,,,,,,,,,
543a684b,046,,,,,,,,,,,,,,,
d25c5310,047,,,,,,,,,,,,,,,
773653d1,048,,,,,,,,,,,,,,,
8c93bb5e,049,,,,,,,,,,,,,,,
ce2ed047,050,,,,,,,,,,,,,,,
4c5763dc,051,,,,,,,,,,,,,,,
f5e9232d,052,,,,,,,,,,,,,,,
e5a7740a,053,,,,,,,,,,,,,,,
dc066e03,054,,,,,,,,,,,,,,,
f2bf3f68,055,,,,,,,,,,,,,,,
58c60e49,056,,,,,,,,,,,,,,,
339c2576,057,,,,,,,,,,,,,,,
6766fd7f,058,,,,,,,,,,,,,,,
05d771b4,059,,,,,,,,,,,,,,,
10003125,060,,,,,,,,,,,,,,,
03cb3ba2,061,,,,,,,,,,,,,,,
9767fabb,062,,,,,,,,,,,,,,,
80ba46c0,063,,,,,,,,,,,,,,,
d18267c1,064,,,,,,,,,,,,,,,
cc72e28e,065,,,,,,,,,,,,,,,
700ea1b7,066,,,,,,,,,,,,,,,
1ba4ca8c,067,,,,,,,,,,,,,,,
4bcb4e1d,068,,,,,,,,,,,,,,,
52e2063a,069,,,,,,,,,,,,,,,
